Carbon,S_CD,serror,Tail
2,0.74999446,0.0004680815,sn1
3,0.7296199,0.00057038735,sn1
4,0.7478748,0.00061688636,sn1
5,0.75194144,0.00063597446,sn1
6,0.7467344,0.00068322534,sn1
7,0.7255397,0.00066602003,sn1
8,0.66240394,0.0007837645,sn1
9,0.6028722,0.0010578152,sn1
10,0.6041589,0.001128025,sn1
11,0.62600785,0.0008770895,sn1
12,0.68554556,0.00094436674,sn1
13,0.6929943,0.0010266134,sn1
14,0.6981166,0.0010169995,sn1
15,0.67567974,0.0010294734,sn1
16,0.658111,0.0009815182,sn1
17,0.61640614,0.00091912894,sn1
18,0.542228,0.00048540175,sn1
2,0.6203166,0.0005817009,sn2
3,0.74275374,0.0006260587,sn2
4,0.7473986,0.00057749107,sn2
5,0.7624726,0.00055607746,sn2
6,0.74154776,0.00067344215,sn2
7,0.73089314,0.00065833627,sn2
8,0.63539475,0.0007320124,sn2
9,0.57651156,0.0010970231,sn2
10,0.58298,0.0011378503,sn2
11,0.63473654,0.00082771713,sn2
12,0.7032496,0.0008751801,sn2
13,0.7172003,0.0008960988,sn2
14,0.72390836,0.00094003935,sn2
15,0.70836353,0.00094423053,sn2
16,0.6888401,0.0009549562,sn2
17,0.6480034,0.000951018,sn2
18,0.55139995,0.0004997742,sn2
