Carbon,S_CD,serror,Tail
2,0.7856651,0.0007675111,sn1
3,0.7741736,0.00085910165,sn1
4,0.8080354,0.0010215107,sn1
5,0.81740516,0.0010331753,sn1
6,0.82941246,0.0011162753,sn1
7,0.8283087,0.0011259913,sn1
8,0.8305025,0.0011860235,sn1
9,0.82318497,0.001232606,sn1
10,0.81864154,0.00128346,sn1
11,0.8053774,0.0013240464,sn1
12,0.79220295,0.001366343,sn1
13,0.7663653,0.0013380744,sn1
14,0.7339145,0.0012784997,sn1
15,0.67892534,0.0010455631,sn1
16,0.5557436,0.00038399748,sn1
2,0.65127707,0.0003937922,sn2
3,0.7776787,0.0008876813,sn2
4,0.8010083,0.0008885209,sn2
5,0.8221859,0.001017265,sn2
6,0.8273341,0.0010545672,sn2
7,0.8350664,0.0010882713,sn2
8,0.83373713,0.0011456356,sn2
9,0.83403844,0.001202001,sn2
10,0.82740396,0.0012641206,sn2
11,0.8220294,0.0013062841,sn2
12,0.8086887,0.0013427088,sn2
13,0.7940408,0.0013825757,sn2
14,0.76385266,0.0014338528,sn2
15,0.72099954,0.0013264407,sn2
16,0.56174546,0.0004399278,sn2
