Carbon,S_CD,serror,Tail
2,0.7745156,0.0007534535,sn1
3,0.75673056,0.0010567114,sn1
4,0.7904048,0.0009987855,sn1
5,0.79729646,0.0010076119,sn1
6,0.8102771,0.0010397723,sn1
7,0.80953074,0.0010511697,sn1
8,0.8127698,0.0010802129,sn1
9,0.80549455,0.0010802828,sn1
10,0.8013455,0.0011046564,sn1
11,0.78758204,0.0011467754,sn1
12,0.7753608,0.0011571976,sn1
13,0.75040996,0.0012448265,sn1
14,0.72192764,0.0012469562,sn1
15,0.6733083,0.001162095,sn1
16,0.55597484,0.0005464272,sn1
2,0.63657105,0.00068050274,sn2
3,0.7650424,0.0007504075,sn2
4,0.770435,0.00074395566,sn2
5,0.7863689,0.00077827816,sn2
6,0.7672925,0.0008731207,sn2
7,0.75442207,0.0008594444,sn2
8,0.6574739,0.0008116596,sn2
9,0.588653,0.0011133124,sn2
10,0.5853721,0.0011605078,sn2
11,0.6516962,0.0010009371,sn2
12,0.7265444,0.0011640287,sn2
13,0.741745,0.0012378822,sn2
14,0.7487961,0.0012837268,sn2
15,0.7340243,0.0012613329,sn2
16,0.71377677,0.0012481405,sn2
17,0.6676992,0.001161646,sn2
18,0.55955446,0.00058654987,sn2
