Frame	POPG_Count	DOPG_Count	DPPE_Count	LOACL_Count	TLCL_Count
0	20	24	114	4	4
1	21	25	110	4	4
2	20	24	112	4	4
3	20	24	106	4	5
4	21	25	109	4	4
5	22	25	104	3	5
6	20	23	109	4	4
7	20	24	111	4	4
8	22	26	107	3	4
9	22	26	105	4	4
10	21	24	103	5	4
11	24	25	104	4	4
12	21	24	107	4	4
13	22	25	109	5	5
14	21	25	111	5	5
15	23	25	107	5	4
16	22	26	109	6	4
17	24	26	113	6	5
18	23	25	108	4	5
19	25	26	104	6	4
20	22	25	105	6	5
21	20	26	111	5	4
22	25	25	107	5	4
23	22	27	110	5	5
24	24	25	114	6	5
25	23	25	109	4	5
26	23	24	113	4	5
27	24	24	109	4	5
28	23	24	114	4	5
29	23	25	113	5	5
30	23	23	106	5	5
31	23	24	112	5	5
32	23	22	111	5	5
33	22	22	109	5	4
34	23	23	112	6	5
35	23	22	110	5	5
36	23	24	111	3	5
37	23	23	107	4	5
38	23	22	113	3	5
39	22	25	118	3	5
40	24	25	110	4	5
41	24	25	109	4	5
42	23	24	115	5	5
43	23	24	114	4	5
44	24	25	115	5	4
45	21	26	115	4	4
46	22	24	114	5	5
47	23	24	121	4	5
48	23	25	117	5	5
49	25	24	115	5	5
50	25	23	116	5	5
51	24	26	112	5	5
52	24	26	117	6	5
53	25	24	114	6	5
54	25	23	112	6	5
55	25	23	113	6	5
56	24	24	114	6	5
57	24	24	113	6	5
58	23	27	115	6	5
59	24	26	109	5	5
60	24	27	112	5	5
61	24	26	106	6	5
62	23	25	108	4	5
63	22	25	110	5	5
64	23	25	105	6	5
65	25	28	113	6	5
66	26	26	105	6	5
67	23	24	107	6	5
68	23	25	111	6	5
69	23	23	110	6	5
70	24	23	105	5	5
71	25	24	111	6	5
72	23	26	111	5	4
73	23	26	107	5	4
74	23	24	112	5	5
75	21	23	106	5	4
76	22	24	114	4	4
77	25	25	107	5	4
78	25	25	105	5	4
79	23	23	111	5	5
80	24	23	110	4	4
81	23	23	108	5	4
82	23	23	108	5	5
83	24	24	110	5	5
84	23	23	110	5	5
85	24	24	113	5	4
86	22	24	105	5	5
87	23	26	108	6	4
88	21	25	111	5	4
89	22	24	109	4	5
90	23	25	114	5	4
91	22	24	107	5	5
92	22	26	110	5	5
93	23	25	115	5	5
94	23	26	117	5	4
95	21	26	111	4	4
96	20	26	112	4	4
97	22	26	112	4	4
